FMID,season,seasonOpenning,seasonClosing,seasonTime
1018870,"January - December","January "," December","Sun: 10:00 AM-2:00 PM;"
1018279,"June - August","June "," August","Tue: 4:00 PM-7:00 PM;"
1010472,"April - October","April ",October,"Tue: 3:00 PM-6:00 PM;"
1012690,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1008163,"June - October","June ",October,"Sat: 9:30 AM-2:30 PM;"
1018768,"May - October","May ",October,"Sat: 9:00 AM-12:30 PM;"
1012657,January,"January ",,"Thu: 10:30 AM-1:30 PM;"
1019047,"June - September","June "," September","Sun: 8:00 AM-1:00 PM;"
1000574,"November - March","November "," March","Thu: 2:00 PM-6:00 PM;"
1016876,"June - September","June "," September","Sun: 9:00 AM-1:00 PM;"
1005799,"October - April","October "," April","Fri: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;"
1002602,"May - March","May "," March","Wed: 2:00 PM-6:00 PM;"
1019596,"June - September","June "," September","Fri: 4:00 PM-8:00 PM;"
1000480,"June - August","June "," August","Thu: 12:00 PM-2:00 PM;"
1018285,"April - October","April ",October,"Sun: 11:00 AM-3:00 PM;"
1010850,"April - October","April ",October,"Tue: 6:00 AM-12:00 PM;Thu: 4:00 PM-7:00 PM;Sat: 6:00 AM-12:00 PM;"
1018370,"April - November","April ",November,"Tue: 3:00 PM-6:00 PM;"
1011014,"January - December","January "," December","Mon: 3:00 PM-6:00 PM;"
1018959,"May - October","May ",October,"Sat: 8:00 AM-1:00 PM;"
1008996,"April - November","April ",November,"Sat: 9:00 AM-4:00 PM;"
1003140,"April - November","April ",November,"Wed: 10:00 AM-1:00 PM;"
1001841,"June - October","June ",October,"Wed:11:00 am - 6:00 pm;"
1000229,"June - August","June "," August","Sat:9:00 AM - 1:00 PM;"
1010404,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1019181,"May - September","May "," September","Wed: 11:00 AM-5:00 PM;"
1019303,"May - September","May "," September","Fri: 8:00 AM-3:00 PM;"
1008041,"January - December","January "," December","Sat: 9:30 AM-12:00 PM;"
1003818,"June - October","June ",October,"Sat: 9:00 AM-1:00 PM;"
1008326,"November - March","November "," March","Sat: 9:00 AM-11:00 AM;"
1011127,"October - May","October "," May","Sun: 10:00 AM-2:00 PM;"
1018736,"May - October","May ",October,"Tue: 5:00 PM-7:30 PM;Sat: 7:00 AM-11:30 PM;"
1008073,"May - September","May "," September","Fri: 10:00 AM-1:00 PM;"
1019544,"April - October","April ",October,"Tue: 2:30 PM-6:30 PM;Sat: 2:30 PM-6:30 PM;"
1003881,"April - October","April ",October,"Thu: 3:30 PM-6:00 PM;"
1009848,"April - October","April ",October,"Thu: 4:00 AM-6:30 PM;"
1010232,"June - August","June "," August","Tue: 5:00 PM-8:00 PM;"
1011799,"June - September","June "," September","Sat: 9:00 AM-2:00 PM;"
1000166,"May - October","May ",October,"Tue: 9:00 AM-1:00 PM;Sat: 9:00 AM-1:00 PM;"
1018799,"June - September","June "," September","Thu: 11:00 AM-2:00 PM;"
1002783,"January - December","January "," December","Sun: 12:00 PM-3:00 PM;"
1010536,"September - October","September ",October,"Thu: 10:00 AM-2:00 PM;"
1018564,"May - November","May ",November,"Sat: 9:00 AM-1:00 PM;"
1019166,"April - November","April ",November,"Wed: 11:00 AM-3:00 PM;"
1011169,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1008367,"June - September","June "," September","Sun: 7:00 AM-1:00 PM;"
1011397,"April - December","April "," December","Tue: 10:00 AM-2:00 PM;"
1003392,"January - December","January "," December","sun:10:00 AM - 2:00 PM;"
1009910,"June - October","June ",October,"Fri: 4:00 PM-7:00 PM;"
1017942,"January - December","January "," December","Thu: 10:00 AM-6:00 PM;Fri: 10:00 AM-6:00 PM;Sat: 10:00 AM-6:00 PM;"
1011028,"April - October","April ",October,"Fri: 4:30 PM-7:30 PM;"
1000826,"June - August","June "," August","Wed: 8:00 AM-12:00 PM;"
1002090,"July - September","July "," September","Mon: 9:00 AM-6:00 PM;Tue: 9:00 AM-6:00 PM;Wed: 9:00 AM-6:00 PM;Thu: 9:00 AM-6:00 PM;Fri: 9:00 AM-6:00 PM;Sat: 9:00 AM-12:00 PM;"
1006158,"May - September","May "," September","Sat: 8:00 AM-12:00 PM;"
1000336,"January - December","January "," December","Mon:3:00 PM - 6:00 PM;Tue:3:00 PM - 6:00 PM;Wed:3:00 PM - 6:00 PM;Thu:3:00 PM - 6:00 PM;Fri:3:00 PM - 6:00 PM;"
1012409,"November - March","November "," March","Sat: 10:00 AM-2:00 PM;"
1003529,"June - October","June ",October,"Sat:8:00 am - 12:00 pm;"
1011244,"January - December","January "," December","Thu: 9:30 AM-1:30 PM;"
1018515,"January - December","January "," December","Sat: 9:00 AM-12:00 PM;"
1003842,"January - December","January "," December","Fri: 10:00 AM-5:00 PM;Sat: 10:00 AM-5:00 PM;"
1002310,"May - October","May ",October,"Thu: 4:00 PM-8:00 PM;"
1018114,"May - October","May ",October,"Tue: 3:00 PM-6:00 PM;"
1001776,"June - September","June "," September","Fri: 7:00 AM-1:00 PM;"
1010827,"May - August","May "," August","Sat: 7:00 AM-11:00 AM;"
1001964,"May - September","May "," September","sun:9:00 AM - 1:00 PM;"
1007289,"July - November","July ",November,"Thu: 9:00 AM-3:00 PM;"
1003788,"June - August","June "," August","Fri:3:00 PM - 6:00 PM;"
1000937,"April - September","April "," September","Thu: 3:00 PM-6:00 PM;"
1012357,"November - April","November "," April","Sun: 9:00 AM-1:00 PM;"
1009685,"May - August","May "," August","Tue: 3:00 PM-6:00 PM;"
1005085,"May - October","May ",October,"Sat: 8:00 AM-1:00 PM;"
1012121,"May - October","May ",October,"Tue: 4:00 PM-7:00 PM;"
1018820,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1019001,"May - October","May ",October,"Sat: 9:00 AM-1:00 PM;"
1008427,"April - November","April ",November,"Sat: 7:00 AM-3:00 PM;"
1003379,"April - October","April ",October,"sun:10:00 AM - 2:00 PM;"
1008433,"May - November","May ",November,"Tue: 7:00 AM-4:00 PM;Thu: 7:00 AM-4:00 PM;"
1005416,"May - October","May ",October,"Sat:8:00 AM - 10:00 AM;"
1012633,"April - November","April ",November,"Sun: 8:00 AM-2:00 PM;"
1018609,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1005683,"May - October","May ",October,"Sat: 8:00 AM-1:00 PM;"
1018002,"May - November","May ",November,"Fri: 4:00 PM-7:00 PM;"
1010745,"June - October","June ",October,"Sat: 8:00 AM-12:00 PM;"
1004753,"July - November","July ",November,"Wed:9:00 AM - 5:00 PM;Sat:9:00 AM - 5:00 PM;"
1012541,"August - October",August,October,"Mon: 2:00 PM-6:00 PM;"
1009647,"January - December","January "," December","Thu: 4:00 PM-8:00 PM;Sun: 8:00 AM-2:00 PM;"
1008419,"May - October","May ",October,"Sun: 9:00 AM-1:00 PM;"
1019504,"June - October","June ",October,"Thu: 3:00 PM-7:00 PM;"
1018248,"January - December","January "," December","Sat: 7:00 AM-12:00 PM;"
1005975,"January - December","January "," December","Mon: 9:00 AM-6:00 PM;Tue: 9:00 AM-6:00 PM;Wed: 9:00 AM-6:00 PM;Thu: 9:00 AM-6:00 PM;Fri: 9:00 AM-6:00 PM;Sat: 9:00 AM-6:00 PM;"
1018422,"November - December","November "," December","Sat: 9:00 AM-12:00 PM;"
1011764,"January - December","January "," December","Tue: 11:00 AM-5:00 PM;Wed: 11:00 AM-5:00 PM;Thu: 11:00 AM-5:00 PM;"
1016917,"June - August","June "," August","Sat: 10:00 AM-1:00 PM;"
1008728,"June - September","June "," September","Thu: 5:00 PM-8:00 PM;"
1006754,"January - December","January "," December","Wed: 10:00 AM-7:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 9:00 AM-2:00 PM;"
1003738,"January - December","January "," December","Wed:10:00 AM - 2:00 PM;Sat:8:00 AM - 2:00 PM;"
1008809,August,August,,"Sun: 10:00 AM-2:00 PM;"
1011497,"January - February","January "," February","Thu: 9:00 AM-5:00 PM;Fri: 9:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;"
1011599,"June - October","June ",October,"Sat: 9:00 AM-1:00 PM;"
1006069,"June - September","June "," September","Sat:9:00 AM - 2:00 PM;"
1019517,"June - October","June ",October,"Fri: 3:00 PM-6:00 PM;"
1009955,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1003823,"May - October","May ",October,"Thu: 3:00 AM-6:30 PM;"
1011059,"May - October","May ",October,"Sat: 9:00 AM-2:00 PM;"
1011060,"June - October","June ",October,"Wed: 4:00 PM-7:00 PM;"
1002645,"January - December","January "," December","Wed:9:00 AM - 5:00 PM;Thu:9:00 AM - 5:00 PM;Fri:9:00 AM - 5:00 PM;Sat:9:00 AM - 5:00 PM;sun:2:00 PM - 4:00 PM;"
1004180,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1002101,"May - October","May ",October,"Thu: 3:00 PM-6:00 PM;"
1010855,"January - April","January "," April","Sat: 10:00 AM-12:00 PM;"
1010364,"August - August",August," August","Fri: 3:00 PM-7:00 PM;"
1003133,"January - December","January "," December","Sun: 8:00 AM-12:00 PM;"
1012826,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1018628,"January - December","January "," December","Tue: 10:00 AM-1:30 PM;"
1011630,"May - October","May ",October,"Tue: 3:00 PM-7:00 PM;Sat: 8:00 AM-2:00 PM;"
1018431,"November - April","November "," April","Sat: 10:00 AM-12:00 PM;"
1001457,"April - November","April ",November,"Tue: 10:00 AM-5:00 PM;Wed: 10:00 AM-5:00 PM;Thu: 10:00 AM-5:00 PM;Fri: 10:00 AM-5:00 PM;Sat: 10:00 AM-5:00 PM;"
1010800,"June - August","June "," August","Thu: 4:00 PM-9:00 PM;"
1010494,"May - September","May "," September","Sat: 9:00 AM-2:00 PM;"
1009992,"November - April","November "," April","Wed: 10:00 AM-2:00 PM;"
1012057,"July - October","July ",October,"Thu: 4:30 PM-7:30 PM;"
1008448,"January - December","January "," December","Sun: 9:00 AM-2:00 PM;"
1018689,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1018624,"June - December","June "," December","Sun: 10:00 AM-2:00 PM;"
1000278,"May - October","May ",October,"Sun: 7:30 AM-12:30 PM;"
1004908,"May - November","May ",November,"Wed: 9:00 AM-6:00 PM;Thu: 9:00 AM-6:00 PM;Fri: 9:00 AM-6:00 PM;Sat: 9:00 AM-6:00 PM;Sun: 10:00 AM-4:00 PM;"
1010938,"May - October","May ",October,"Fri: 10:00 AM-2:00 PM;"
1001866,"November - April","November "," April","Sat: 10:00 AM-2:00 PM;"
1010798,"June - September","June "," September","Sat: 9:00 AM-1:00 PM;"
1000851,"June - October","June ",October,"Mon: 9:00 AM-6:00 PM;Wed: 9:00 AM-6:00 PM;Fri: 9:00 AM-6:00 PM;Sat: 9:00 AM-1:00 PM;"
1010413,"January - December","January "," December","Mon: 10:00 AM-6:00 PM;Tue: 10:00 AM-6:00 PM;Wed: 10:00 AM-6:00 PM;Thu: 10:00 AM-6:00 PM;Fri: 10:00 AM-6:00 PM;Sat: 10:00 AM-6:00 PM;Sun: 10:00 AM-6:00 PM;"
1000429,"May - October","May ",October,"Sat: 7:30 AM-12:00 PM;"
1011757,"January - December","January "," December","Sat: 9:00 AM-2:00 PM;"
1012554,"January - December","January "," December","Wed: 3:00 PM-6:00 PM;"
1018868,"January - December","January "," December","Sat: 9:00 AM-2:00 PM;"
1012799,"May - October","May ",October,"Sat: 9:00 AM-1:00 PM;"
1008152,"January - December","January "," December","Mon: 9:00 AM-7:00 PM;Tue: 9:00 AM-7:00 PM;Wed: 9:00 AM-7:00 PM;Thu: 9:00 AM-7:00 PM;Fri: 9:00 AM-7:00 PM;Sat: 8:00 AM-3:00 PM;"
1008215,"April - December","April "," December","Sat: 8:00 AM-4:30 PM;"
1008826,"May - September","May "," September","Sat: 9:00 AM-12:00 PM;"
1008827,"June - August","June "," August","Tue: 4:30 AM-7:00 PM;"
1006521,"June - June","June "," June","Sat:1:00 PM - 6:00 PM;"
1012013,"July - September","July "," September","Sat: 8:00 AM-11:00 AM;"
1003002,"April - December","April "," December","Sat: 7:00 AM-11:00 AM;"
1019228,"June - October","June ",October,"Tue: 3:30 PM-6:00 PM;Sat: 9:00 AM-12:00 PM;"
1008345,"June - October","June ",October,"Tue: 8:00 AM-7:00 PM;"
1001983,"January - December","January "," December","Sat: 7:30 AM-11:30 AM;"
1011750,"June - September","June "," September","Wed: 5:00 PM-7:00 PM;"
1004670,"January - December","January "," December","Mon: 8:00 AM-6:00 PM;Tue: 8:00 AM-6:00 PM;Wed: 8:00 AM-6:00 PM;Thu: 8:00 AM-6:00 PM;Fri: 8:00 AM-6:00 PM;Sat: 8:00 AM-6:00 PM;"
1008126,"June - September","June "," September","Sat: 9:00 AM-12:00 PM;"
1007777,"May - October","May ",October,"Wed: 2:00 PM-6:00 PM;Sun: 3:00 PM-6:00 PM;"
1004600,"May - October","May ",October,"Wed:12:00 PM - 5:00 PM;"
1003833,"January - November","January ",November,"Thu: 1:30 PM-6:00 PM;"
1010102,"July - October","July ",October,"Thu: 4:00 PM-7:00 PM;"
1002633,"May - October","May ",October,"Sat: 9:00 AM-2:00 PM;"
1004355,"May - August","May "," August","Thu: 1:00 PM-6:00 PM;"
1000218,"July - November","July ",November,"Sat:10:00 AM - 5:00 PM;"
1012215,"June - September","June "," September","Sat: 9:00 AM-12:00 PM;"
1012533,"January - December","January "," December","Thu: 8:00 AM-1:00 PM;"
1017961,"January - December","January "," December","Thu: 8:00 AM-1:00 PM;"
1018623,"June - September","June "," September","Thu: 3:30 PM-7:30 PM;"
1001586,"July - October","July ",October,"Sat: 10:00 AM-1:00 PM;"
1009814,"May - October","May ",October,"Sat: 9:00 AM-2:00 PM;"
1009802,"May - October","May ",October,"Sun: 9:00 AM-1:30 PM;"
1002259,"June - September","June "," September","Sat: 9:00 AM-2:00 PM;"
1008365,"June - September","June "," September","Fri: 3:00 PM-7:00 PM;"
1009623,"December - March","December "," March","Sat: 10:00 AM-2:00 PM;"
1009754,"June - October","June ",October,"Mon: 7:00 AM-7:00 PM;Tue: 7:00 AM-7:00 PM;Wed: 7:00 AM-7:00 PM;Thu: 7:00 AM-7:00 PM;Fri: 7:00 AM-7:00 PM;Sat: 7:00 AM-7:00 PM;"
1004291,"June - October","June ",October,"Tue: 9:00 AM-2:00 PM;Sat: 9:00 AM-2:00 PM;"
1012595,"January - December","January "," December","Mon: 4:00 PM-7:00 PM;"
1008704,"April - October","April ",October,"Thu: 3:00 PM-7:00 PM;"
1009939,"December - April","December "," April","Sat: 9:00 AM-1:00 PM;"
1008388,"June - September","June "," September","Thu: 10:00 AM-3:00 PM;"
1007370,"January - December","January "," December","Wed:12:00 pm - 5:00 pm;"
1003076,"June - October","June ",October,"Tue: 9:00 AM-1:00 PM;"
1003812,"June - October","June ",October,"Thu:7:30 am - 1:00 pm;"
1000078,"January - December","January "," December","Sun: 9:00 AM-6:00 PM;"
1004148,"June - October","June ",October,"Wed:11:00 am - 5:00 pm;"
1006481,"January - December","January "," December","Tue:8:00 AM - 1:00 PM;Sat:8:00 AM - 1:00 PM;"
1010207,"July - September","July "," September","Sat: 7:30 AM-10:30 AM;"
1010205,"July - October","July ",October,"Thu: 3:00 PM-8:00 PM;"
1010784,"June - October","June ",October,"Sat: 8:00 AM-12:00 PM;"
1019535,"June - October","June ",October,"Sat: 8:00 AM-12:00 PM;"
1008394,"January - December","January "," December","Tue: 7:00 AM-2:30 PM;Thu: 7:00 AM-2:30 PM;Sat: 7:00 AM-2:30 PM;"
1003993,"May - November","May ",November,"Sat:8:30 am - 12:30 pm;"
1002152,"January - December","January "," December","Tue:8:00 AM - 12:00 PM;Fri:12:00 PM - 6:00 PM;"
1008108,"May - October","May ",October,"Sun: 8:00 AM-1:00 PM;"
1003960,"June - August","June "," August","Sat:8:30 AM - 1:00 PM;"
1005639,"June - August","June "," August","Sat: 8:00 AM-12:00 PM;"
1001804,"January - December","January "," December","Sat: 8:00 AM-1:00 PM;"
1010794,"July - December","July "," December","Sat: 10:00 AM-2:00 PM;"
1019393,"May - October","May ",October,"Thu: 3:00 PM-7:00 PM;"
1003415,"June - September","June "," September","Sat: 9:00 AM-12:00 PM;"
1008198,"June - October","June ",October,"Thu: 3:00 PM-7:30 PM;"
1012096,"June - October","June ",October,"Fri: 8:00 AM-1:00 PM;"
1019213,"May - August","May "," August","Tue: 8:00 AM-12:00 PM;"
1000563,"June - ","June "," ","Sat: 8:30 AM-12:00 PM;"
1000411,"June - October","June ",October,"Fri: 5:30 PM-7:30 PM;Sat: 9:00 AM-1:00 PM;"
1006324,"June - October","June ",October,"Fri: 4:00 PM-7:00 PM;"
1018806,"June - November","June ",November,"Thu: 11:00 AM-3:00 PM;"
1001984,"April - December","April "," December","Sat:8:00 am - 12:00 pm;"
1006729,"May - September","May "," September","Sat:9:00 AM - 12:00 PM;"
1010767,"January - December","January "," December","Mon: 8:30 AM-2:30 PM;Tue: 8:30 AM-2:30 PM;Wed: 8:30 AM-2:30 PM;Thu: 8:30 AM-2:30 PM;Fri: 8:30 AM-2:30 PM;"
1003074,"April - October","April ",October,"Tue: 4:00 PM-7:00 PM;"
1003213,"May - November","May ",November,"Sat:9:00 AM - 12:00 PM;"
1005287,"June - October","June ",October,"Sat: 9:00 AM-1:00 PM;"
1000079,"January - December","January "," December","Wed: 8:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;"
1004959,"October - May","October "," May","Sat: 10:00 AM-2:00 PM;"
1012217,"June - October","June ",October,"Sat: 8:00 AM-12:00 PM;"
1005385,"May - October","May ",October,"Sat:8:00 am - 12:00 pm;"
1011543,"July - September","July "," September","Sat: 8:00 AM-1:00 PM;"
1002713,"May - October","May ",October,"Fri:5:00 pm - 8:00 pm;Sat:8:00 am - 2:00 pm;"
1018933,"July - September","July "," September","Wed: 4:00 PM-6:00 PM;"
1002041,"April - October","April ",October,"Sat: 10:00 AM-3:00 PM;"
1018436,"November - April","November "," April","Sat: 9:00 AM-2:00 PM;"
1018040,"June - September","June "," September","Sun: 10:00 AM-2:00 PM;"
1002618,"May - October","May ",October,"Wed: 4:00 PM-7:00 PM;"
1012516,"June - August","June "," August","Mon: 8:00 AM-12:00 PM;"
1009678,"May - October","May ",October,"Thu: 4:00 PM-6:00 PM;"
1001439,"April - December","April "," December","Mon:8:00 AM - 5:00 PM;Tue:8:00 AM - 5:00 PM;Wed:8:00 AM - 5:00 PM;Thu:8:00 AM - 5:00 PM;Fri:8:00 AM - 5:00 PM;Sat:8:00 AM - 5:00 PM;sun:9:00 AM - 3:00 PM;"
1008037,"August - August",August," August","Wed:2:00 AM - 3:00 PM;"
1006642,"June - September","June "," September","Fri: 4:00 PM-8:00 PM;"
1005006,"April - December","April "," December","Thu: 4:00 PM-8:00 PM;"
1000080,"January - December","January "," December","Thu: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;"
1011022,"May - November","May ",November,"Tue: 2:30 PM-6:00 PM;"
1018397,"June - September","June "," September","Tue: 4:00 PM-7:00 PM;"
1004552,"June - September","June "," September","Tue: 4:00 PM-8:00 PM;"
1019324,"May - September","May "," September","Tue: 10:30 AM-2:00 PM;"
1002896,"June - October","June ",October,"Sat:7:30 AM - 10:30 PM;"
1009826,"May - August","May "," August","Mon: 5:00 PM-7:00 PM;Thu: 7:00 AM-11:00 AM;"
1001509,"June - September","June "," September","Fri: 11:00 AM-5:00 PM;"
1003600,"May - September","May "," September","Wed: 10:00 AM-2:00 PM;"
1018283,"May - October","May ",October,"Tue: 3:00 PM-6:00 PM;Thu: 6:00 AM-12:00 PM;Sat: 6:00 AM-12:00 PM;"
1018379,"June - September","June "," September","Thu: 10:00 AM-2:00 PM;"
1000113,April,"April ",,"Sat:6:00 AM - 12:00 PM;"
1019349,"April - September","April "," September","Tue: 3:00 PM-6:00 PM;"
1002365,"June - October","June ",October,"Wed: 3:00 PM-7:00 PM;"
1008091,"January - December","January "," December","Wed: 9:00 AM-1:00 PM;"
1006350,"June - September","June "," September","Sat:12:00 PM - 3:00 PM;"
1000670,"June - November","June ",November,"Sat: 9:00 AM-2:00 PM;"
1001563,"July - September","July "," September","Wed: 5:00 PM-8:00 PM;"
1012573,"May - September","May "," September","Sat: 9:00 AM-12:00 PM;"
1008210,"January - December","January "," December","Mon: 12:00 AM-11:30 PM;Tue: 12:00 AM-11:30 PM;Wed: 12:00 AM-9:00 AM;Fri: 6:00 AM-11:30 PM;Sat: 12:00 AM-11:30 PM;Sun: 12:00 AM-11:30 PM;"
1005493,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1012025,"July - September","July "," September","Tue: 4:00 PM-7:00 PM;"
1004063,"July - September","July "," September","Thu: 4:00 PM-7:00 PM;"
1010594,"March - November","March ",November,"Sat: 9:00 AM-12:00 PM;"
1006169,"June - October","June ",October,"Thu: 4:00 PM-7:00 PM;Sat: 8:00 AM-1:00 PM;"
1008900,"June - September","June "," September","Sat: 9:00 AM-12:00 PM;"
1006371,"December - April","December "," April","Tue: 9:00 AM-2:00 PM;"
1018699,"June - October","June ",October,"Sun: 9:00 AM-1:00 PM;"
1000689,"June - August","June "," August","Fri: 11:00 AM-2:00 PM;"
1002134,"April - June","April "," June","Wed: 10:00 AM-1:30 PM;"
1000902,"September - June","September "," June","Tue: 10:00 AM-2:00 PM;"
1009881,"May - November","May ",November,"Sat: 8:00 AM-2:00 PM;"
1001001,"May - October","May ",October,"Tue:8:00 AM - 6:00 PM;Fri:8:00 AM - 6:00 PM;Sat:8:00 AM - 2:00 PM;"
1006826,"November - ","November "," ","Sat: 9:00 AM-12:00 PM;"
1006114,"June - October","June ",October,"Thu:4:00 pm - 7:30 pm;"
1004732,"April - October","April ",October,"Sat: 9:00 AM-1:00 PM;"
1001252,"September - September","September "," September","Sat: 8:00 AM-5:00 PM;"
1006601,"January - December","January "," December","Sat:9:00 AM - 1:00 PM;"
1018968,"October - December","October "," December","Wed: 9:00 AM-12:00 PM;Thu: 9:00 AM-12:00 PM;Fri: 9:00 AM-12:00 PM;Sat: 9:00 AM-12:00 PM;"
1018767,"January - December","January "," December","Tue: 8:00 AM-2:00 PM;Thu: 8:00 AM-2:00 PM;Sat: 8:00 AM-2:00 PM;"
1019215,"June - October","June ",October,"Tue: 2:00 PM-6:00 PM;Sat: 7:00 AM-1:00 PM;"
1002213,"April - July","April "," July","Sat:8:00 AM - 12:00 PM;"
1011783,"May - October","May ",October,"Mon: 3:00 PM-7:00 PM;"
1010032,"May - October","May ",October,"Fri: 4:00 PM-7:00 PM;"
1010158,"May - September","May "," September","Fri: 3:00 pm-6:00 pm;"
1018798,"June - October","June ",October,"Sun: 10:00 AM-1:00 PM;"
1019540,"May - November","May ",November,"Sat: 9:00 AM-1:00 PM;"
1000081,"January - December","January "," December","Mon: 8:00 AM-6:00 PM;Wed: 8:00 AM-6:00 PM;Fri: 8:00 AM-6:00 PM;Sat: 8:00 AM-6:00 PM;"
1018634,"January - December","January "," December","Wed: 4:00 PM-7:00 PM;"
1012042,"June - September","June "," September","Thu: 3:00 PM-6:00 PM;"
1018840,"January - December","January "," December","Sat: 9:00 AM-2:00 PM;"
1002887,"May - November","May ",November,"Sat: 9:00 AM-1:00 PM;"
1006408,"May - October","May ",October,"Thu:3:30 PM - 6:00 PM;"
1003753,"May - October","May ",October,"Sun: 8:00 AM-1:00 PM;"
1004170,"January - December","January "," December","Sat: 9:00 AM-2:00 PM;"
1001808,"May - November","May ",November,"Tue: 10:00 AM-2:00 PM;"
1009758,"July - October","July ",October,"Wed: 11:00 AM-2:00 PM;"
1009789,"July - October","July ",October,"Wed: 11:00 AM-2:00 PM;"
1008216,"March - November","March ",November,"Wed: 10:00 AM-6:00 PM;"
1003148,"June - November","June ",November,"Sat: 9:00 AM-3:00 PM;"
1000591,"May - October","May ",October,"Wed:3:30 pm - 6:30 pm;"
1011429,"April - October","April ",October,"Wed: 3:00 PM-7:00 PM;"
1002958,"December - May","December "," May","Sat: 10:00 AM-12:00 PM;"
1010556,"May - November","May ",November,"Wed: 4:00 PM-7:00 PM;"
1000731,"May - September","May "," September","Sat: 8:00 AM-12:00 PM;"
1000234,"April - November","April ",November,"Sat: 9:00 AM-12:00 PM;"
1018235,"October - April","October "," April","Wed: 9:00 AM-1:00 PM;Sat: 9:00 AM-1:00 PM;"
1010904,"May - October","May ",October,"Sun: 11:00 AM-4:00 PM;"
1012638,"June - September","June "," September","Sat: 10:00 AM-2:00 PM;"
1019105,"October - March","October "," March","Wed: 10:00 AM-2:00 PM;Sat: 10:00 AM-2:00 PM;"
1002815,"April - October","April ",October,"Sat: 7:00 AM-12:00 PM;"
1001886,"May - August","May "," August","Wed: 5:00 PM-8:00 PM;"
1006148,"June - September","June "," September","Thu:4:00 pm - 6:00 pm;"
1019448,"May - October","May ",October,"Wed: 3:00 PM-6:00 PM;"
1010807,"May - August","May "," August","Sat: 8:00 AM-12:00 PM;"
1010808,"May - August","May "," August","Thu: 3:00 PM-7:00 PM;"
1005967,"May - ","May "," ","Fri: 9:00 AM-3:00 PM;Sat: 9:00 AM-3:00 PM;"
1018569,"June - October","June ",October,"Sat: 9:00 AM-1:00 PM;"
1001274,"June - September","June "," September","Fri: 4:00 PM-8:00 PM;"
1019342,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1010189,"January - December","January "," December","Fri: 2:00 PM-6:00 PM;Sat: 10:00 AM-2:00 PM;"
1001626,"June - November","June ",November,"Wed: 2:00 PM-5:30 PM;"
1016817,"January - December","January "," December","Tue: 9:00 AM-3:00 PM;Wed: 9:00 AM-3:00 PM;Thu: 9:00 AM-3:00 PM;Fri: 9:00 AM-3:00 PM;Sat: 8:00 AM-12:00 PM;"
1018852,"October - October","October ",October,"Sat: 9:00 AM-11:00 AM;"
1019498,"May - October","May ",October,"Sun: 11:00 AM-2:00 PM;"
1004464,"May - November","May ",November,"Sat:7:00 AM - 12:00 PM;"
1000718,"May - October","May ",October,"Thu: 10:00 AM-2:00 PM;"
1005631,"May - October","May ",October,"Fri: 9:00 AM-2:00 PM;"
1002446,"May - November","May ",November,"Tue: 10:00 AM-2:00 PM;"
1012310,"May - October","May ",October,"Wed: 4:00 PM-7:00 PM;"
1008864,"January - December","January "," December","Thu: 3:00 PM-7:00 PM;"
1012402,"March - April","March "," April","Sat: 9:00 AM-1:00 PM;"
1010073,"August - September",August," September","Wed: 11:00 AM-2:00 PM;"
1011498,"April - November","April ",November,"Wed: 10:00 AM-2:00 PM;"
1011499,"January - December","January "," December","Wed: 10:00 AM-2:00 PM;"
1006550,"May - October","May ",October,"Wed:10:00 AM - 2:00 PM;"
1011358,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1005852,"July - September","July "," September","Fri: 4:00 PM-8:00 PM;"
1004669,"January - December","January "," December","Mon: 8:00 AM-6:00 PM;Tue: 8:00 AM-6:00 PM;Wed: 8:00 AM-6:00 PM;Thu: 8:00 AM-6:00 PM;Fri: 8:00 AM-6:00 PM;Sat: 8:00 AM-6:00 PM;Sun: 8:00 AM-6:00 PM;"
1011445,"January - December","January "," December","Fri: 9:00 AM-1:00 PM;"
1011357,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1006714,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1008848,"June - August","June "," August","Wed: 8:00 AM-1:00 PM;"
1005859,"May - September","May "," September","Thu: 4:00 PM-8:00 PM;"
1000910,"May - October","May ",October,"Tue: 5:30 PM-8:30 PM;"
1003371,"May - August","May "," August","Sat: 8:00 AM-12:00 PM;"
1016828,"June - October","June ",October,"Tue: 8:00 AM-2:00 PM;Sat: 8:00 AM-2:00 PM;"
